# name	planet_status	mass	mass_error_min	mass_error_max	mass_sini	mass_sini_error_min	mass_sini_error_max	radius	radius_error_min	radius_error_max	orbital_period	orbital_period_error_min	orbital_period_error_max	semi_major_axis	semi_major_axis_error_min	semi_major_axis_error_max	eccentricity	eccentricity_error_min	eccentricity_error_max	inclination	inclination_error_min	inclination_error_max	angular_distance	discovered	updated	omega	omega_error_min	omega_error_max	tperi	tperi_error_min	tperi_error_max	tconj	tconj_error_min	tconj_error_max	tzero_tr	tzero_tr_error_min	tzero_tr_error_max	tzero_tr_sec	tzero_tr_sec_error_min	tzero_tr_sec_error_max	lambda_angle	lambda_angle_error_min	lambda_angle_error_max	impact_parameter	impact_parameter_error_min	impact_parameter_error_max	tzero_vr	tzero_vr_error_min	tzero_vr_error_max	k	k_error_min	k_error_max	temp_calculated	temp_calculated_error_min	temp_calculated_error_max	temp_measured	hot_point_lon	geometric_albedo	geometric_albedo_error_min	geometric_albedo_error_max	log_g	publication_status	detection_type	mass_detection_type	radius_detection_type	alternate_names	molecules	star_name	ra	dec	mag_v	mag_i	mag_j	mag_h	mag_k	star_distance	star_distance_error_min	star_distance_error_max	star_metallicity	star_metallicity_error_min	star_metallicity_error_max	star_mass	star_mass_error_min	star_mass_error_max	star_radius	star_radius_error_min	star_radius_error_max	star_sp_type	star_age	star_age_error_min	star_age_error_max	star_teff	star_teff_error_min	star_teff_error_max	star_detected_disc	star_magnetic_field	star_alternate_names
HD 28185 b	Confirmed	5.7			5.7						383.0	2.0	2.0	1.03			0.07	0.04	0.04				0.026142	2001	2010-12-20	351.0	25.0	25.0	51853.0	25.0	25.0																															Published in a refereed paper	Radial Velocity					HD 28185	66.6083333	-10.5505556	7.81					39.4			0.24			1.24			1.03			G5	5.36			5482.0					
HD 28254 b	Confirmed	1.16	0.06	0.1	1.16	0.06	0.1				1116.0	26.0	26.0	2.15	0.05	0.05	0.81	0.02	0.02				0.038256	2009	2010-09-08	301.0	4.0	4.0	4049.0	55.0	55.0																															Submitted to a professional journal	Radial Velocity					HD 28254	66.2125	-50.6222222	7.71					56.2	2.0	2.0	0.36	0.03	0.03	1.06			1.48	0.06	0.06	G1IV/V				5664.0	35.0	35.0			
HD 283668 b	Confirmed	53.4	4.0	4.0	53.4	4.0	4.0				2558.0	8.0	8.0	3.3	0.11	0.11	0.577	0.011	0.011					2016	2016-02-10	265.4	1.2	1.2	2457401.0	9.0	9.0																			1243.0	25.0	25.0										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 283668	66.970833351	24.44472224	9.44					42.3			-0.75	0.12	0.12	0.68	0.06	0.06								4845.0	66.0	66.0			
HD 285507 b	Confirmed	0.917	0.033	0.033	0.917	0.033	0.033				6.0881	0.0018	0.0018	0.0729	0.003	0.003	0.086	0.019	0.019					2013	2015-06-14	182.0	11.0	11.0	2456263.121	0.029	0.029																															Published in a refereed paper	Radial Velocity					HD 285507	61.754166667	15.335000008	10.5					41.3	3.0	3.0	0.13	0.01	0.01	0.734	0.034	0.034	0.656	0.034	0.034	K5	0.625	50.0	50.0	4503.0	85.0	61.0			
HD 28678 b	Confirmed	1.7	0.1	0.1	1.7	0.1	0.1				387.1	4.2	4.2	1.24	0.03	0.03	0.168	0.068	0.068				0.005463	2011	2011-09-02	131.0	30.0	30.0	2455517.0	30.0	30.0																															Published in a refereed paper	Radial Velocity					HD 28678	67.8541667	4.5752778	8.54					227.0	48.0	48.0	-0.11	0.03	0.03	1.74	0.12	0.12	6.2	0.1	0.1	K0D	1.8	0.7	0.7	5076.0	44.0	44.0			
HD 29021 b	Confirmed	2.4	0.2	0.2	2.4	0.2	0.2				1362.3	4.0	4.6	2.28	0.08	0.07	0.459	0.008	0.008					2017	2017-06-29				2455823.9	5.7	6.1																			56.4	0.9	0.9										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 29021	69.4675000174	60.6761944654	7.76					30.6	0.4	0.4	-0.24	0.02	0.02	0.85	0.08	0.08	0.85	0.09	0.09	G5	7.4	3.1	3.1	5560.0	45.0	45.0			2MASS J04375221+6040344
HD 290327 b	Confirmed	2.54	0.14	0.17	2.54	0.14	0.17				2443.0	117.0	117.0	3.43	0.12	0.12	0.08	0.03	0.03				0.062477	2009	2010-09-08	268.0	19.0	19.0	5326.0	412.0	412.0																															Submitted to a professional journal	Radial Velocity					HD 290327	80.8416667	-2.2775	8.96					54.9	4.3	4.3	-0.11	0.02	0.02	0.9			1.0	0.01	0.01	G8V				5552.0	21.0	21.0			
HD 2952 b	Confirmed	1.6			1.6						311.6	1.9	1.7	1.2			0.129	0.085	0.099					2013	2014-05-25	64.0	48.0	56.0	2450112.0	54.0	64.0																															Published in a refereed paper	Radial Velocity					HD 2952	8.2917	54.895	5.93					115.2	9.0	9.0	0.0	0.04	0.04	2.54	0.09	0.12	12.02	1.06	1.16	K0III				4844.0	20.0	20.0			
HD 30177 b	Confirmed	8.07	0.12	0.12	8.07	0.12	0.12				2532.5	10.6	10.6	3.58	0.01	0.01	0.18	0.014	0.014					2002	2016-12-08	32.0	4.0	4.0	2451428.0	26.0	26.0																			126.1	1.9	1.9										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 30177	70.475	-58.0205556	8.41					54.7	2.3	2.3	0.33	0.05	0.05	1.05	0.08	0.08	1.12			G8 V	11.6	2.2	1.8	5580.0	12.0	12.0			
HD 30177 c	Confirmed	3.0	0.3	0.3	3.0	0.3	0.3				6921.0	621.0	621.0	6.99	0.42	0.42	0.35	0.1	0.1					2016	2016-12-09	11.0	13.0	13.0	2451661.0	573.0	573.0																			35.8	3.4	3.4										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 30177	70.475	-58.0205556	8.41					54.7	2.3	2.3	0.33	0.05	0.05	1.05	0.08	0.08	1.12			G8 V	11.6	2.2	1.8	5580.0	12.0	12.0			
