name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
OGLE-TR-211 b,Confirmed,0.75,0.15,0.15,,,,1.26,0.09,0.09,3.67724,0.00003,0.00003,0.051,0.001,0.001,0,,,87.2,nan,inf,,2007,2010-06-24,,,,,,,,,,2453428.334,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,,OGLE-TR-211,160.0625,-62.4555556,,14.3,,,,,,,0.11,0.1,0.1,1.33,0.05,0.05,1.64,0.07,0.07,,,,,6325,91,91,,,
OGLE-TR-56 b,Confirmed,1.3,0.08,0.08,,,,1.2,0.17,0.17,1.211909,0.000001,0.000001,0.0225,0.0004,0.0004,0,,,78.8,0.5,0.5,0.000015,2002,2014-08-16,,,,,,,,,,2453936.598,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,OGLE-TR-56,269.1458333,-29.5391667,16.6,,,,,1500,,,,,,1.17,0.04,0.04,1.32,0.06,0.06,G,2,nan,inf,,,,,,
OGLE2-TR-L9 b,Confirmed,4.34,1.48,1.48,,,,1.614,0.083,0.083,2.4855335,0.0000007,0.0000007,0.0308,0.0005,0.0005,,,,79.8,0.3,0.3,0.000034,2007,2010-12-06,,,,,,,,,,2454492.79765,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,OGLE2-TR-L9,166.9791667,-61.1461111,,13.97,13.51,13.25,13.12,900,,,-0.05,0.2,0.2,1.52,0.08,0.08,1.53,0.04,0.04,F3,0.66,,,6933,58,58,,,
POTS-1 b,Confirmed,2.31,0.77,0.77,,,,0.941,0.047,0.036,3.1606296,0.00000157,0.00000157,0.03734,0.0009,0.0009,,,,88.06,0.34,0.47,,2013,2014-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,POTS-1,203.6083,-66.5811,17.94,,,,,,,,-0.03,0.15,0.15,0.695,0.05,0.05,,,,K5,,,,4400,200,200,,,
Qatar-1 b,Confirmed,1.33,0.05,0.05,,,,1.18,0.09,0.09,1.42002504,0.00000071,0.00000071,0.02343,0.0012,0.0012,0,,,83.82,0.25,0.25,,2010,2016-08-23,,,,,,,,,,2455518.41094,0.00016,0.00016,,,,351.6,7.1,7.1,0.675,0.016,0.016,,,,,,,,,,,,,,,,Submitted to a professional journal,Primary Transit,,Primary Transit,,,Qatar-1,303.3833333,65.1619444,12.84,,,,10.4,,,,0.2,0.1,0.1,0.8,0.05,0.05,0.823,0.025,0.025,K,4.5,nan,inf,4910,100,100,,,
Qatar-2 b,Confirmed,2.487,0.086,0.086,,,,1.144,0.035,0.035,1.3371182,0.0000037,0.0000037,0.02149,0.00036,0.00036,0,,,88.3,0.94,0.94,,2011,2017-02-13,,,,,,,,,,2455624.26679,0.00011,0.00011,,,,15,20,20,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Primary Transit,,,,,Qatar-2,207.6541667,-6.8038889,13.3,,,,,,,,0,,,0.74,0.037,0.037,0.713,0.018,0.018,K,,,,4645,50,50,,,
Qatar-3 b,Confirmed,4.31,0.47,0.47,,,,1.096,0.14,0.14,2.5079204,0.0000099,0.0000099,0.03783,0.00069,0.00069,,,,86.8,2,2,,2016,2016-09-18,,,,,,,,,,2457302.453,0.0001,0.0001,,,,,,,0.35,0.22,0.22,,,,587,58,58,1681,,,84,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Qatar-3,359.150000012,36.21305557,,,,,,,,,-0.041,0.081,0.081,1.145,0.064,0.064,1.272,0.14,0.14,,4.079,1.34,1.34,6007,52,52,,,UCAC3 253-304972
Qatar-4 b,Confirmed,5.85,0.47,0.47,,,,1.552,0.057,0.057,1.8053949,0.0000099,0.0000099,0.02861,0.00048,0.00048,,,,88.82,1.2,1.2,,2016,2016-09-18,,,,,,,,,,2457323.65441,0.00098,0.00098,,,,,,,0.114,0.11,0.11,,,,1004,71,71,1570,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Qatar-4,4.858333342,44.027500009,,,,,,,,,0.166,0.081,0.081,0.954,0.048,0.048,1.115,0.037,0.037,,12.9,0.95,0.95,5219,50,50,,,UCAC3 269-003518
Qatar-5 b,Confirmed,4.32,0.18,0.18,,,,1.107,0.064,0.064,2.8792319,0.0000099,0.0000099,0.04127,0.0067,0.0067,,,,88.74,0.87,0.87,,2016,2016-09-18,,,,,,,,,,2457336.75824,0.000098,0.000098,,,,,,,0.18,0.16,0.16,,,,568,15,15,1415,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Qatar-5,7.054166671,42.061388899,,,,,,,,,0.377,0.08,0.08,1.128,0.056,0.056,1.076,0.051,0.051,,5.47,4.4,4.4,5747,49,49,,,UCAC3 265-004681
SWEEPS-04 ,Confirmed,3.8,inf,nan,,,,0.81,0.1,0.1,4.2,,,0.055,,,,,,87,nan,inf,0.000006,2006,2007-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,SWEEPS-04,269.725,-29.1891667,18.8,,,,,8500,0,0,,,,1.24,,,1.18,,,,,,,,,,,,
SWEEPS-11 ,Confirmed,9.7,5.6,5.6,,,,1.13,0.21,0.21,1.796,,,0.03,,,,,,84,nan,inf,0.000004,2006,2007-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,SWEEPS-11,269.7625,-29.1983333,19.83,,,,,8500,0,0,,,,1.1,,,1.45,,,,,,,,,,,,
TRAPPIST-1 b,Confirmed,0.0027,0.0023,0.0023,,,,0.09689,0.00031,0.00031,1.51087081,0.00006,0.00006,0.01111,0.00034,0.00034,0,0,0.081,89.65,0.27,0.27,,2016,2017-09-01,,,,,,,,,,2457322.51736,0.0001,0.0001,,,,,,,0.126,0.078,0.092,,,,,,,400.1,7.7,7.7,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,,TRAPPIST-1,346.620833343,-5.041388896,18.8,,,,,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.009,0.009,0.117,0.004,0.004,M8,0.5,,,2550,55,55,,,2MASS J23062928-0502285
